experiment,threshold,test_accuracy,test_balanced_accuracy,test_macro_f1,test_f1_class_0,test_roc_auc
"ConvNeXt Atto + Padding, threshold=0.5",0.5,0.8970588235294118,0.7910052910052909,0.715292084800957,0.4878048780487805,0.8804232804232804
"ConvNeXt Atto + Padding, tuned threshold",0.31000000000000005,0.946078431372549,0.8174603174603174,0.8079917857448446,0.6451612903225806,0.8804232804232804
