threshold,accuracy,balanced_accuracy,precision,recall,f1,macro_f1,precision_class_0,recall_class_0,f1_class_0
0.05,0.9421965317919075,0.5833333333333334,0.9415204678362573,1.0,0.9698795180722891,0.6277969018932874,1.0,0.16666666666666666,0.2857142857142857
0.060000000000000005,0.9479768786127167,0.6635610766045549,0.9523809523809523,0.9937888198757764,0.9726443768996961,0.7216163060969069,0.8,0.3333333333333333,0.47058823529411764
0.07,0.9479768786127167,0.7021221532091098,0.9578313253012049,0.9875776397515528,0.9724770642201835,0.7493964268469339,0.7142857142857143,0.4166666666666667,0.5263157894736842
0.08000000000000002,0.9479768786127167,0.7021221532091098,0.9578313253012049,0.9875776397515528,0.9724770642201835,0.7493964268469339,0.7142857142857143,0.4166666666666667,0.5263157894736842
0.09000000000000001,0.9479768786127167,0.7021221532091098,0.9578313253012049,0.9875776397515528,0.9724770642201835,0.7493964268469339,0.7142857142857143,0.4166666666666667,0.5263157894736842
0.1,0.9421965317919075,0.6990165631469979,0.9575757575757575,0.9813664596273292,0.9693251533742331,0.7346625766871165,0.625,0.4166666666666667,0.5
0.11000000000000001,0.9421965317919075,0.6990165631469979,0.9575757575757575,0.9813664596273292,0.9693251533742331,0.7346625766871165,0.625,0.4166666666666667,0.5
0.12000000000000001,0.9421965317919075,0.6990165631469979,0.9575757575757575,0.9813664596273292,0.9693251533742331,0.7346625766871165,0.625,0.4166666666666667,0.5
0.13,0.9479768786127167,0.7406832298136645,0.9634146341463414,0.9813664596273292,0.9723076923076923,0.7718681318681319,0.6666666666666666,0.5,0.5714285714285714
0.14,0.9479768786127167,0.7406832298136645,0.9634146341463414,0.9813664596273292,0.9723076923076923,0.7718681318681319,0.6666666666666666,0.5,0.5714285714285714
0.15000000000000002,0.9479768786127167,0.7406832298136645,0.9634146341463414,0.9813664596273292,0.9723076923076923,0.7718681318681319,0.6666666666666666,0.5,0.5714285714285714
0.16000000000000003,0.9479768786127167,0.7406832298136645,0.9634146341463414,0.9813664596273292,0.9723076923076923,0.7718681318681319,0.6666666666666666,0.5,0.5714285714285714
0.17000000000000004,0.9479768786127167,0.7406832298136645,0.9634146341463414,0.9813664596273292,0.9723076923076923,0.7718681318681319,0.6666666666666666,0.5,0.5714285714285714
0.18000000000000005,0.9479768786127167,0.7406832298136645,0.9634146341463414,0.9813664596273292,0.9723076923076923,0.7718681318681319,0.6666666666666666,0.5,0.5714285714285714
0.19,0.9479768786127167,0.7406832298136645,0.9634146341463414,0.9813664596273292,0.9723076923076923,0.7718681318681319,0.6666666666666666,0.5,0.5714285714285714
0.2,0.9479768786127167,0.7406832298136645,0.9634146341463414,0.9813664596273292,0.9723076923076923,0.7718681318681319,0.6666666666666666,0.5,0.5714285714285714
0.21000000000000002,0.9479768786127167,0.7406832298136645,0.9634146341463414,0.9813664596273292,0.9723076923076923,0.7718681318681319,0.6666666666666666,0.5,0.5714285714285714
0.22000000000000003,0.9479768786127167,0.7406832298136645,0.9634146341463414,0.9813664596273292,0.9723076923076923,0.7718681318681319,0.6666666666666666,0.5,0.5714285714285714
0.23000000000000004,0.9364161849710982,0.734472049689441,0.9629629629629629,0.968944099378882,0.9659442724458205,0.7438417014403016,0.5454545454545454,0.5,0.5217391304347826
0.24000000000000005,0.9364161849710982,0.734472049689441,0.9629629629629629,0.968944099378882,0.9659442724458205,0.7438417014403016,0.5454545454545454,0.5,0.5217391304347826
0.25000000000000006,0.9364161849710982,0.734472049689441,0.9629629629629629,0.968944099378882,0.9659442724458205,0.7438417014403016,0.5454545454545454,0.5,0.5217391304347826
